token, holder, balanceInUSD
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 5559085.7335273875
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 3003507.4612347544
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0x848327323bfbfe368fc00a3e4f1df3862cecf382, 784304.2331542596
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0xe37b957ed8e4550103943ea2f97e1741e3ced656, 1344893.4006010995
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 218385.36535941117
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xcc7244296cfef1728118ef36dc9ecc2ecc784a73, 4841553.488684506
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xc95adae711dfd7c741db02d6645d24aa91cec563, 269800.12381731643
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x1f507aff910a3b6e3fd9a14e06e5972fa26d1c92, 2698001.2381360736
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xbddeb8b18ef1f4017951cbe9d8682af40b8cdcb0, 1080837.1219480012
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x5ab4581a5d245085f0177a14ada23cd547f2eed7, 269765.6159133863
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x36a00b5b1fe482c51e726ab8f92b84499053bf7e, 305765.1321692279
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xd28d4252df1723f9e7d68bb3dc15518f7632debc, 975027.0506584082
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 752362.191399796
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x2bc0105b6bb4c1e53cfd8070b65a0d858695cd92, 2844093.2603029
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xac2e1e747447f0ab64bf4564fca063b6d704e1ce, 194874.7241948294
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x38ee5f5a39c01cb43473992c12936ba1219711ab, 824595.9690925392
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x9fdc6c51ac273637ead71b34e031c4e6b52bc57b, 548771.0196379661
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x6165fd87c1bc73a4c44b23934e9136fd92df5b01, 912709.1373180555
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 178862716.64896742
